  I,RNGOFFSET(I) =   42    2.23607
  I,IOFFSET(I) =   42  1
  I,JOFFSET(I) =   42  2
  I,KOFFSET(I) =   42  0
  I,RNGOFFSET(I) =   43    2.23607
  I,IOFFSET(I) =   43  0
  I,JOFFSET(I) =   43  1
  I,KOFFSET(I) =   43  2
  I,RNGOFFSET(I) =   44    2.23607
  I,IOFFSET(I) =   44  1
  I,JOFFSET(I) =   44  0
  I,KOFFSET(I) =   44  -2
  I,RNGOFFSET(I) =   45    2.23607
  I,IOFFSET(I) =   45  1
  I,JOFFSET(I) =   45  -2
  I,KOFFSET(I) =   45  0
  I,RNGOFFSET(I) =   46    2.23607
  I,IOFFSET(I) =   46  0
  I,JOFFSET(I) =   46  2
  I,KOFFSET(I) =   46  1
  I,RNGOFFSET(I) =   47    2.23607
  I,IOFFSET(I) =   47  0
  I,JOFFSET(I) =   47  -2
  I,KOFFSET(I) =   47  -1
  I,RNGOFFSET(I) =   48    2.23607
  I,IOFFSET(I) =   48  0
  I,JOFFSET(I) =   48  2
  I,KOFFSET(I) =   48  -1
  I,RNGOFFSET(I) =   49    2.23607
  I,IOFFSET(I) =   49  0
  I,JOFFSET(I) =   49  -1
  I,KOFFSET(I) =   49  2
  I,RNGOFFSET(I) =   50    2.23607
  I,IOFFSET(I) =   50  -2
  I,JOFFSET(I) =   50  1
  I,KOFFSET(I) =   50  0
  I,RNGOFFSET(I) =   51    2.23607
  I,IOFFSET(I) =   51  -1
  I,JOFFSET(I) =   51  0
  I,KOFFSET(I) =   51  -2
  I,RNGOFFSET(I) =   52    2.23607
  I,IOFFSET(I) =   52  -2
  I,JOFFSET(I) =   52  -1
  I,KOFFSET(I) =   52  0
  I,RNGOFFSET(I) =   53    2.23607
  I,IOFFSET(I) =   53  -2
  I,JOFFSET(I) =   53  0
  I,KOFFSET(I) =   53  -1
  I,RNGOFFSET(I) =   54    2.23607
  I,IOFFSET(I) =   54  -2
  I,JOFFSET(I) =   54  0
  I,KOFFSET(I) =   54  1
  I,RNGOFFSET(I) =   55    2.23607
  I,IOFFSET(I) =   55  -1
  I,JOFFSET(I) =   55  -2
  I,KOFFSET(I) =   55  0
  I,RNGOFFSET(I) =   56    2.23607
  I,IOFFSET(I) =   56  -1
  I,JOFFSET(I) =   56  2
  I,KOFFSET(I) =   56  0
  I,RNGOFFSET(I) =   57    2.23607
  I,IOFFSET(I) =   57  -1
  I,JOFFSET(I) =   57  0
  I,KOFFSET(I) =   57  2
  I,RNGOFFSET(I) =   58    2.44949
  I,IOFFSET(I) =   58  -2
  I,JOFFSET(I) =   58  1
  I,KOFFSET(I) =   58  -1
  I,RNGOFFSET(I) =   59    2.44949
  I,IOFFSET(I) =   59  1
  I,JOFFSET(I) =   59  -1
  I,KOFFSET(I) =   59  2
  I,RNGOFFSET(I) =   60    2.44949
  I,IOFFSET(I) =   60  -2
  I,JOFFSET(I) =   60  1
  I,KOFFSET(I) =   60  1
  I,RNGOFFSET(I) =   61    2.44949
  I,IOFFSET(I) =   61  1
  I,JOFFSET(I) =   61  -1
  I,KOFFSET(I) =   61  -2
  I,RNGOFFSET(I) =   62    2.44949
  I,IOFFSET(I) =   62  1
  I,JOFFSET(I) =   62  1
  I,KOFFSET(I) =   62  -2
  I,RNGOFFSET(I) =   63    2.44949
  I,IOFFSET(I) =   63  -2
  I,JOFFSET(I) =   63  -1
  I,KOFFSET(I) =   63  1
  I,RNGOFFSET(I) =   64    2.44949
  I,IOFFSET(I) =   64  1
  I,JOFFSET(I) =   64  -2
  I,KOFFSET(I) =   64  -1
  I,RNGOFFSET(I) =   65    2.44949
  I,IOFFSET(I) =   65  2
  I,JOFFSET(I) =   65  -1
  I,KOFFSET(I) =   65  -1
  I,RNGOFFSET(I) =   66    2.44949
  I,IOFFSET(I) =   66  2
  I,JOFFSET(I) =   66  1
  I,KOFFSET(I) =   66  -1
  I,RNGOFFSET(I) =   67    2.44949
  I,IOFFSET(I) =   67  2
  I,JOFFSET(I) =   67  -1
  I,KOFFSET(I) =   67  1
  I,RNGOFFSET(I) =   68    2.44949
  I,IOFFSET(I) =   68  1
  I,JOFFSET(I) =   68  2
  I,KOFFSET(I) =   68  1
  I,RNGOFFSET(I) =   69    2.44949
  I,IOFFSET(I) =   69  1
  I,JOFFSET(I) =   69  1
  I,KOFFSET(I) =   69  2
  I,RNGOFFSET(I) =   70    2.44949
  I,IOFFSET(I) =   70  -2
  I,JOFFSET(I) =   70  -1
  I,KOFFSET(I) =   70  -1
  I,RNGOFFSET(I) =   71    2.44949
  I,IOFFSET(I) =   71  1
  I,JOFFSET(I) =   71  2
  I,KOFFSET(I) =   71  -1
  I,RNGOFFSET(I) =   72    2.44949
  I,IOFFSET(I) =   72  1
  I,JOFFSET(I) =   72  -2
  I,KOFFSET(I) =   72  1
  I,RNGOFFSET(I) =   73    2.44949
  I,IOFFSET(I) =   73  2
  I,JOFFSET(I) =   73  1
  I,KOFFSET(I) =   73  1
  I,RNGOFFSET(I) =   74    2.44949
  I,IOFFSET(I) =   74  -1
  I,JOFFSET(I) =   74  1
  I,KOFFSET(I) =   74  -2
  I,RNGOFFSET(I) =   75    2.44949
  I,IOFFSET(I) =   75  -1
  I,JOFFSET(I) =   75  -1
  I,KOFFSET(I) =   75  2
  I,RNGOFFSET(I) =   76    2.44949
  I,IOFFSET(I) =   76  -1
  I,JOFFSET(I) =   76  -2
  I,KOFFSET(I) =   76  -1
  I,RNGOFFSET(I) =   77    2.44949
  I,IOFFSET(I) =   77  -1
  I,JOFFSET(I) =   77  -1
  I,KOFFSET(I) =   77  -2
  I,RNGOFFSET(I) =   78    2.44949
  I,IOFFSET(I) =   78  -1
  I,JOFFSET(I) =   78  2
  I,KOFFSET(I) =   78  1
  I,RNGOFFSET(I) =   79    2.44949
  I,IOFFSET(I) =   79  -1
  I,JOFFSET(I) =   79  -2
  I,KOFFSET(I) =   79  1
  I,RNGOFFSET(I) =   80    2.44949
  I,IOFFSET(I) =   80  -1
  I,JOFFSET(I) =   80  2
  I,KOFFSET(I) =   80  -1
  I,RNGOFFSET(I) =   81    2.44949
  I,IOFFSET(I) =   81  -1
  I,JOFFSET(I) =   81  1
  I,KOFFSET(I) =   81  2
  I,RNGOFFSET(I) =   82    2.82843
  I,IOFFSET(I) =   82  2
  I,JOFFSET(I) =   82  -2
  I,KOFFSET(I) =   82  0
  I,RNGOFFSET(I) =   83    2.82843
  I,IOFFSET(I) =   83  -2
  I,JOFFSET(I) =   83  0
  I,KOFFSET(I) =   83  -2
  I,RNGOFFSET(I) =   84    2.82843
  I,IOFFSET(I) =   84  0
  I,JOFFSET(I) =   84  -2
  I,KOFFSET(I) =   84  2
  I,RNGOFFSET(I) =   85    2.82843
  I,IOFFSET(I) =   85  2
  I,JOFFSET(I) =   85  0
  I,KOFFSET(I) =   85  -2
  I,RNGOFFSET(I) =   86    2.82843
  I,IOFFSET(I) =   86  0
  I,JOFFSET(I) =   86  2
  I,KOFFSET(I) =   86  2
  I,RNGOFFSET(I) =   87    2.82843
  I,IOFFSET(I) =   87  -2
  I,JOFFSET(I) =   87  0
  I,KOFFSET(I) =   87  2
  I,RNGOFFSET(I) =   88    2.82843
  I,IOFFSET(I) =   88  -2
  I,JOFFSET(I) =   88  -2
  I,KOFFSET(I) =   88  0
  I,RNGOFFSET(I) =   89    2.82843
  I,IOFFSET(I) =   89  2
  I,JOFFSET(I) =   89  2
  I,KOFFSET(I) =   89  0
  I,RNGOFFSET(I) =   90    2.82843
  I,IOFFSET(I) =   90  0
  I,JOFFSET(I) =   90  -2
  I,KOFFSET(I) =   90  -2
  I,RNGOFFSET(I) =   91    2.82843
  I,IOFFSET(I) =   91  -2
  I,JOFFSET(I) =   91  2
  I,KOFFSET(I) =   91  0
  I,RNGOFFSET(I) =   92    2.82843
  I,IOFFSET(I) =   92  0
  I,JOFFSET(I) =   92  2
  I,KOFFSET(I) =   92  -2
  I,RNGOFFSET(I) =   93    2.82843
  I,IOFFSET(I) =   93  2
  I,JOFFSET(I) =   93  0
  I,KOFFSET(I) =   93  2
  I,RNGOFFSET(I) =   94    3.00000
  I,IOFFSET(I) =   94  2
  I,JOFFSET(I) =   94  -1
  I,KOFFSET(I) =   94  -2
  I,RNGOFFSET(I) =   95    3.00000
  I,IOFFSET(I) =   95  -3
  I,JOFFSET(I) =   95  0
  I,KOFFSET(I) =   95  0
  I,RNGOFFSET(I) =   96    3.00000
  I,IOFFSET(I) =   96  2
  I,JOFFSET(I) =   96  1
  I,KOFFSET(I) =   96  -2
  I,RNGOFFSET(I) =   97    3.00000
  I,IOFFSET(I) =   97  -2
  I,JOFFSET(I) =   97  -1
  I,KOFFSET(I) =   97  -2
  I,RNGOFFSET(I) =   98    3.00000
  I,IOFFSET(I) =   98  -1
  I,JOFFSET(I) =   98  2
  I,KOFFSET(I) =   98  2
  I,RNGOFFSET(I) =   99    3.00000
  I,IOFFSET(I) =   99  -2
  I,JOFFSET(I) =   99  -2
  I,KOFFSET(I) =   99  1
  I,RNGOFFSET(I) =   100    3.00000
  I,IOFFSET(I) =   100  2
  I,JOFFSET(I) =   100  -1
  I,KOFFSET(I) =   100  2
  I,RNGOFFSET(I) =   101    3.00000
  I,IOFFSET(I) =   101  -2
  I,JOFFSET(I) =   101  -2
  I,KOFFSET(I) =   101  -1
  I,RNGOFFSET(I) =   102    3.00000
  I,IOFFSET(I) =   102  2
  I,JOFFSET(I) =   102  -2
  I,KOFFSET(I) =   102  1
  I,RNGOFFSET(I) =   103    3.00000
  I,IOFFSET(I) =   103  -2
  I,JOFFSET(I) =   103  2
  I,KOFFSET(I) =   103  -1
  I,RNGOFFSET(I) =   104    3.00000
  I,IOFFSET(I) =   104  2
  I,JOFFSET(I) =   104  -2
  I,KOFFSET(I) =   104  -1
  I,RNGOFFSET(I) =   105    3.00000
  I,IOFFSET(I) =   105  -1
  I,JOFFSET(I) =   105  -2
  I,KOFFSET(I) =   105  -2
  I,RNGOFFSET(I) =   106    3.00000
  I,IOFFSET(I) =   106  0
  I,JOFFSET(I) =   106  3
  I,KOFFSET(I) =   106  0
  I,RNGOFFSET(I) =   107    3.00000
  I,IOFFSET(I) =   107  1
  I,JOFFSET(I) =   107  -2
  I,KOFFSET(I) =   107  -2
  I,RNGOFFSET(I) =   108    3.00000
  I,IOFFSET(I) =   108  -2
  I,JOFFSET(I) =   108  1
  I,KOFFSET(I) =   108  2
  I,RNGOFFSET(I) =   109    3.00000
  I,IOFFSET(I) =   109  -2
  I,JOFFSET(I) =   109  2
  I,KOFFSET(I) =   109  1
  I,RNGOFFSET(I) =   110    3.00000
  I,IOFFSET(I) =   110  1
  I,JOFFSET(I) =   110  -2
  I,KOFFSET(I) =   110  2
  I,RNGOFFSET(I) =   111    3.00000
  I,IOFFSET(I) =   111  -1
  I,JOFFSET(I) =   111  -2
  I,KOFFSET(I) =   111  2
  I,RNGOFFSET(I) =   112    3.00000
  I,IOFFSET(I) =   112  -2
  I,JOFFSET(I) =   112  1
  I,KOFFSET(I) =   112  -2
  I,RNGOFFSET(I) =   113    3.00000
  I,IOFFSET(I) =   113  1
  I,JOFFSET(I) =   113  2
  I,KOFFSET(I) =   113  2
  I,RNGOFFSET(I) =   114    3.00000
  I,IOFFSET(I) =   114  -2
  I,JOFFSET(I) =   114  -1
  I,KOFFSET(I) =   114  2
  I,RNGOFFSET(I) =   115    3.00000
  I,IOFFSET(I) =   115  0
  I,JOFFSET(I) =   115  0
  I,KOFFSET(I) =   115  -3
  I,RNGOFFSET(I) =   116    3.00000
  I,IOFFSET(I) =   116  2
  I,JOFFSET(I) =   116  1
  I,KOFFSET(I) =   116  2
  I,RNGOFFSET(I) =   117    3.00000
  I,IOFFSET(I) =   117  1
  I,JOFFSET(I) =   117  2
  I,KOFFSET(I) =   117  -2
  I,RNGOFFSET(I) =   118    3.00000
  I,IOFFSET(I) =   118  -1
  I,JOFFSET(I) =   118  2
  I,KOFFSET(I) =   118  -2
  I,RNGOFFSET(I) =   119    3.00000
  I,IOFFSET(I) =   119  0
  I,JOFFSET(I) =   119  -3
  I,KOFFSET(I) =   119  0
  I,RNGOFFSET(I) =   120    3.00000
  I,IOFFSET(I) =   120  0
  I,JOFFSET(I) =   120  0
  I,KOFFSET(I) =   120  3
  I,RNGOFFSET(I) =   121    3.00000
  I,IOFFSET(I) =   121  2
  I,JOFFSET(I) =   121  2
  I,KOFFSET(I) =   121  -1
  I,RNGOFFSET(I) =   122    3.00000
  I,IOFFSET(I) =   122  3
  I,JOFFSET(I) =   122  0
  I,KOFFSET(I) =   122  0
  I,RNGOFFSET(I) =   123    3.00000
  I,IOFFSET(I) =   123  2
  I,JOFFSET(I) =   123  2
  I,KOFFSET(I) =   123  1
  I,RNGOFFSET(I) =   124    3.16228
  I,IOFFSET(I) =   124  1
  I,JOFFSET(I) =   124  3
  I,KOFFSET(I) =   124  0
  I,RNGOFFSET(I) =   125    3.16228
  I,IOFFSET(I) =   125  0
  I,JOFFSET(I) =   125  -3
  I,KOFFSET(I) =   125  1
  I,RNGOFFSET(I) =   126    3.16228
  I,IOFFSET(I) =   126  0
  I,JOFFSET(I) =   126  -1
  I,KOFFSET(I) =   126  3
  I,RNGOFFSET(I) =   127    3.16228
  I,IOFFSET(I) =   127  -3
  I,JOFFSET(I) =   127  -1
  I,KOFFSET(I) =   127  0
  I,RNGOFFSET(I) =   128    3.16228
  I,IOFFSET(I) =   128  0
  I,JOFFSET(I) =   128  -3
  I,KOFFSET(I) =   128  -1
  I,RNGOFFSET(I) =   129    3.16228
  I,IOFFSET(I) =   129  0
  I,JOFFSET(I) =   129  1
  I,KOFFSET(I) =   129  -3
  I,RNGOFFSET(I) =   130    3.16228
  I,IOFFSET(I) =   130  -1
  I,JOFFSET(I) =   130  0
  I,KOFFSET(I) =   130  3
  I,RNGOFFSET(I) =   131    3.16228
  I,IOFFSET(I) =   131  0
  I,JOFFSET(I) =   131  3
  I,KOFFSET(I) =   131  -1
  I,RNGOFFSET(I) =   132    3.16228
  I,IOFFSET(I) =   132  1
  I,JOFFSET(I) =   132  0
  I,KOFFSET(I) =   132  3
  I,RNGOFFSET(I) =   133    3.16228
  I,IOFFSET(I) =   133  0
  I,JOFFSET(I) =   133  -1
  I,KOFFSET(I) =   133  -3
  I,RNGOFFSET(I) =   134    3.16228
  I,IOFFSET(I) =   134  -1
  I,JOFFSET(I) =   134  0
  I,KOFFSET(I) =   134  -3
  I,RNGOFFSET(I) =   135    3.16228
  I,IOFFSET(I) =   135  -3
  I,JOFFSET(I) =   135  0
  I,KOFFSET(I) =   135  -1
  I,RNGOFFSET(I) =   136    3.16228
  I,IOFFSET(I) =   136  -3
  I,JOFFSET(I) =   136  0
  I,KOFFSET(I) =   136  1
  I,RNGOFFSET(I) =   137    3.16228
  I,IOFFSET(I) =   137  -1
  I,JOFFSET(I) =   137  -3
  I,KOFFSET(I) =   137  0
  I,RNGOFFSET(I) =   138    3.16228
  I,IOFFSET(I) =   138  0
  I,JOFFSET(I) =   138  3
  I,KOFFSET(I) =   138  1
  I,RNGOFFSET(I) =   139    3.16228
  I,IOFFSET(I) =   139  -3
  I,JOFFSET(I) =   139  1
  I,KOFFSET(I) =   139  0
  I,RNGOFFSET(I) =   140    3.16228
  I,IOFFSET(I) =   140  1
  I,JOFFSET(I) =   140  -3
  I,KOFFSET(I) =   140  0
  I,RNGOFFSET(I) =   141    3.16228
  I,IOFFSET(I) =   141  1
  I,JOFFSET(I) =   141  0
  I,KOFFSET(I) =   141  -3
  I,RNGOFFSET(I) =   142    3.16228
  I,IOFFSET(I) =   142  3
  I,JOFFSET(I) =   142  1
  I,KOFFSET(I) =   142  0
  I,RNGOFFSET(I) =   143    3.16228
  I,IOFFSET(I) =   143  -1
  I,JOFFSET(I) =   143  3
  I,KOFFSET(I) =   143  0
  I,RNGOFFSET(I) =   144    3.16228
  I,IOFFSET(I) =   144  3
  I,JOFFSET(I) =   144  0
  I,KOFFSET(I) =   144  -1
  I,RNGOFFSET(I) =   145    3.16228
  I,IOFFSET(I) =   145  0
  I,JOFFSET(I) =   145  1
  I,KOFFSET(I) =   145  3
  I,RNGOFFSET(I) =   146    3.16228
  I,IOFFSET(I) =   146  3
  I,JOFFSET(I) =   146  0
  I,KOFFSET(I) =   146  1
  I,RNGOFFSET(I) =   147    3.16228
  I,IOFFSET(I) =   147  3
  I,JOFFSET(I) =   147  -1
  I,KOFFSET(I) =   147  0
  I,RNGOFFSET(I) =   148    3.31662
  I,IOFFSET(I) =   148  1
  I,JOFFSET(I) =   148  -1
  I,KOFFSET(I) =   148  3
  I,RNGOFFSET(I) =   149    3.31662
  I,IOFFSET(I) =   149  -3
  I,JOFFSET(I) =   149  1
  I,KOFFSET(I) =   149  1
  I,RNGOFFSET(I) =   150    3.31662
  I,IOFFSET(I) =   150  1
  I,JOFFSET(I) =   150  1
  I,KOFFSET(I) =   150  3
  I,RNGOFFSET(I) =   151    3.31662
  I,IOFFSET(I) =   151  1
  I,JOFFSET(I) =   151  3
  I,KOFFSET(I) =   151  1
  I,RNGOFFSET(I) =   152    3.31662
  I,IOFFSET(I) =   152  -1
  I,JOFFSET(I) =   152  3
  I,KOFFSET(I) =   152  -1
  I,RNGOFFSET(I) =   153    3.31662
  I,IOFFSET(I) =   153  -1
  I,JOFFSET(I) =   153  1
  I,KOFFSET(I) =   153  3
  I,RNGOFFSET(I) =   154    3.31662
  I,IOFFSET(I) =   154  -1
  I,JOFFSET(I) =   154  3
  I,KOFFSET(I) =   154  1
  I,RNGOFFSET(I) =   155    3.31662
  I,IOFFSET(I) =   155  -1
  I,JOFFSET(I) =   155  1
